komentar,rating,timestamp,sentimen,clean
selalu terkendala di pengiriman.. barang saya sudah 5 kali di retur sebelah pihak tanpa konfirmasi dulu..,1,2026-04-19 02:36:59,negatif,selalu terkendala di pengiriman barang saya sudah  kali di retur sebelah pihak tanpa konfirmasi dulu
shoope cina sengke,1,2026-04-19 02:33:50,negatif,shoope cina sengke
Menarik👍,5,2026-04-19 02:29:53,positif,menarik
aplikasi shoppe memudahkan belanja menjadi menguntungkan,5,2026-04-19 02:25:21,positif,aplikasi shoppe memudahkan belanja menjadi menguntungkan
cukup bisa di adalkan cuma soal pejualy selalu cek,5,2026-04-19 02:14:06,positif,cukup bisa di adalkan cuma soal pejualy selalu cek
"return sudah dikembalikan tapi uangnya suruh nunggu 15hari, apa2an? padahal uangnya mau dipake membeli produk serupa, sebagai pembeli merasa dipersulit jd kapok menggunakan shopee, mending pindah pake ebay",1,2026-04-19 02:13:17,negatif,return sudah dikembalikan tapi uangnya suruh nunggu hari apaan padahal uangnya mau dipake membeli produk serupa sebagai pembeli merasa dipersulit jd kapok menggunakan shopee mending pindah pake ebay
shepee mantap sangat membatu mebuat bejanja kebutuhan jadi mudah,5,2026-04-19 02:12:12,positif,shepee mantap sangat membatu mebuat bejanja kebutuhan jadi mudah
"UI-nya jelek naur, gak jelek banget tapi bikin jengkel ege. at least, voucher diskonnya lumayan sih buat pembeli. Cuma ya potongannya cukup besar di sisi penjual, dan juga bisa terbilang cepat dalam menangani ketika komplain retur/refund.",3,2026-04-19 02:07:54,netral,uinya jelek naur gak jelek banget tapi bikin jengkel ege at least voucher diskonnya lumayan sih buat pembeli cuma ya potongannya cukup besar di sisi penjual dan juga bisa terbilang cepat dalam menangani ketika komplain returrefund
semua terasa mudah,5,2026-04-19 02:04:43,positif,semua terasa mudah
makasih koinnya shopee,5,2026-04-19 02:04:11,positif,makasih koinnya shopee
bagus,5,2026-04-19 02:02:22,positif,bagus
sangat baik,5,2026-04-19 02:00:34,positif,sangat baik
menyenangkan,5,2026-04-19 01:58:06,positif,menyenangkan
mantap,5,2026-04-19 01:57:47,positif,mantap
sangat membantu dan memudahkan,4,2026-04-19 01:57:16,positif,sangat membantu dan memudahkan
aku suka sama aplikasi ini.. walau pengantaran nya tepat dan kadang tidak tepat..tapi bagi ku aplikasi ini sangat berguna..❤,5,2026-04-19 01:51:36,positif,aku suka sama aplikasi ini walau pengantaran nya tepat dan kadang tidak tepattapi bagi ku aplikasi ini sangat berguna
nice thanks for best recommended seller🙏,5,2026-04-19 01:51:13,positif,nice thanks for best recommended seller
FB. El Ilham. shopee indonesia terbaik bagi gue,5,2026-04-19 01:49:51,positif,fb el ilham shopee indonesia terbaik bagi gue
gak cocok,1,2026-04-19 01:42:41,negatif,gak cocok
penangan lambat aplikasi lelet,1,2026-04-19 01:41:23,negatif,penangan lambat aplikasi lelet
"pengiriman shopee skarang udah makin lelet dan cs shopee juga bertele tele banyak ini lah itu lah dulu shopee 3-4 hari nyampe sakarang 5 hari masih di sortir emng sortir apaan sampe 5 hari ga slesai? waktu di chat tim expedisi malah makin di lama"" in kaya buang"" waktu aja kecewa banget sama shoppe skarang demnnnn broo di pesan tgl 6 tgl 19 blum nyampe"" kurirnya kalau nanam padi udah bertunas broo",1,2026-04-19 01:37:35,negatif,pengiriman shopee skarang udah makin lelet dan cs shopee juga bertele tele banyak ini lah itu lah dulu shopee  hari nyampe sakarang  hari masih di sortir emng sortir apaan sampe  hari ga slesai waktu di chat tim expedisi malah makin di lama in kaya buang waktu aja kecewa banget sama shoppe skarang demnnnn broo di pesan tgl  tgl  blum nyampe kurirnya kalau nanam padi udah bertunas broo
bagus siip,5,2026-04-19 01:35:33,positif,bagus siip
bagus,1,2026-04-19 01:35:32,negatif,bagus
Shopee teman dalam menjalankan Toko online.. ❤️👍harapan saya untuk kedepannya Khususnya di wilayah Plosok jangan titip paket kepada jasa kirim barang yang tidak serius mengantar pesanan konsumen..,5,2026-04-19 01:30:11,positif,shopee teman dalam menjalankan toko online harapan saya untuk kedepannya khususnya di wilayah plosok jangan titip paket kepada jasa kirim barang yang tidak serius mengantar pesanan konsumen
GK JELAS,1,2026-04-19 01:28:16,negatif,gk jelas
mantap,4,2026-04-19 01:17:45,positif,mantap
tmantap lancar,5,2026-04-19 01:07:52,positif,tmantap lancar
mantap lah Poko nya,5,2026-04-19 00:56:41,positif,mantap lah poko nya
kenapa si ngelag bgtt jujurr ke uda seneng murah meriah ngelag bangetttt tolong di perbaiki🫶🙏🙏,1,2026-04-19 00:49:22,negatif,kenapa si ngelag bgtt jujurr ke uda seneng murah meriah ngelag bangetttt tolong di perbaiki
"pengiriman lama, translit terus kayaknya lagi dituker barangnya soalnya ga dibungkus plastik dan pelindung. sumpah beli baru seharga 150 ribu jadi bekas ga ada harganya,, baru kali ini gue belanja online kecewa,, mana ga bisa dibatalkan kayak di lazada dan Tokopedia",2,2026-04-19 00:47:08,negatif,pengiriman lama translit terus kayaknya lagi dituker barangnya soalnya ga dibungkus plastik dan pelindung sumpah beli baru seharga  ribu jadi bekas ga ada harganya baru kali ini gue belanja online kecewa mana ga bisa dibatalkan kayak di lazada dan tokopedia
bagus,5,2026-04-19 00:44:45,positif,bagus
"Belanja puas,,cma kadang Free ongkir gak bisa di gunakan.. Gak bisa ikut flash saleh pdhl udh standby 😂",5,2026-04-19 00:42:44,positif,belanja puascma kadang free ongkir gak bisa di gunakan gak bisa ikut flash saleh pdhl udh standby 
untuk pemesanan Shopee food bisa-bisanya driver pick up untuk 2 atau 3 orderan (sesuai pengakuan driver). orang lagi lapar ini harus nunggu sejam. keburu lewat lapernya 😵‍💫😮‍💨,2,2026-04-19 00:38:12,negatif,untuk pemesanan shopee food bisabisanya driver pick up untuk  atau  orderan sesuai pengakuan driver orang lagi lapar ini harus nunggu sejam keburu lewat lapernya 
"aplikasinya bagusss tapii,dulu dulu enak buat pesen tpi Kenapa sekarang gak bisaa di buat pesen yaa, katanya suruh masukin no hp ,tapi kan padhl udah ada no hp nyaa",1,2026-04-19 00:37:51,negatif,aplikasinya bagusss tapiidulu dulu enak buat pesen tpi kenapa sekarang gak bisaa di buat pesen yaa katanya suruh masukin no hp tapi kan padhl udah ada no hp nyaa
aplikasi yang rekomendasi sekali cocok untuk belanja apapun,5,2026-04-19 00:30:46,positif,aplikasi yang rekomendasi sekali cocok untuk belanja apapun
ok,5,2026-04-19 00:29:39,positif,ok
"sangat meringankan untuk saat ini hanya kendala di pengiriman yg memakan waktu cukup lama, 3 minggu baru sampai tujuan, blm lagi kalaw lewat dari estimasi 2-3 hari...",5,2026-04-19 00:28:52,positif,sangat meringankan untuk saat ini hanya kendala di pengiriman yg memakan waktu cukup lama  minggu baru sampai tujuan blm lagi kalaw lewat dari estimasi  hari
jangn unduh apk ini krna semakin mmbuatku semakin jaya memakai shopee jadi lebih enak online berbelnja,5,2026-04-19 00:20:19,positif,jangn unduh apk ini krna semakin mmbuatku semakin jaya memakai shopee jadi lebih enak online berbelnja
semakin baik,5,2026-04-19 00:17:36,positif,semakin baik
"barang ok, cocok",5,2026-04-19 00:15:18,positif,barang ok cocok
ok siy,5,2026-04-19 00:11:17,positif,ok siy
barang yang dijual bagus datang barang sesuai dengan pesanan,5,2026-04-19 00:11:08,positif,barang yang dijual bagus datang barang sesuai dengan pesanan
ok,5,2026-04-19 00:11:04,positif,ok
proses cepat mantap,5,2026-04-19 00:06:39,positif,proses cepat mantap
udah join vip. diskon gak beda jauh ama non vip.padahal yg lain dapet diskon gila² an padahal gak join apa². fungsi vipnya buat apa?,3,2026-04-19 00:04:46,netral,udah join vip diskon gak beda jauh ama non vippadahal yg lain dapet diskon gila an padahal gak join apa fungsi vipnya buat apa
ok,5,2026-04-19 00:03:19,positif,ok
mantab,5,2026-04-19 00:01:27,positif,mantab
sangat memudahkan untuk belanja kebutuhan,5,2026-04-18 23:58:11,positif,sangat memudahkan untuk belanja kebutuhan
bagus,1,2026-04-18 23:54:42,negatif,bagus
ok,5,2026-04-18 23:48:30,positif,ok
"bgus, tp ada beberapa voucher yang mengaruskan pelanggan terverifikasi padahal ktp saya diblokir sama shopee. dan sebab ktp saya diblokir juga karena aplikasi shopee yang dibobol oleh penipu, udah saya urus berkali kali dan ga pernah bisa akibat akun yang dibekukan, minta tolong kebijakannya kk 🙏. Karena KTP juga masih ktp saya dan penyebab itu dibekukan karena penipu. saya juga jadi ga bisa pakai voucher itu padhaal dulunya voucher itu bebas untuk seluruh pengguna",2,2026-04-18 23:46:20,negatif,bgus tp ada beberapa voucher yang mengaruskan pelanggan terverifikasi padahal ktp saya diblokir sama shopee dan sebab ktp saya diblokir juga karena aplikasi shopee yang dibobol oleh penipu udah saya urus berkali kali dan ga pernah bisa akibat akun yang dibekukan minta tolong kebijakannya kk  karena ktp juga masih ktp saya dan penyebab itu dibekukan karena penipu saya juga jadi ga bisa pakai voucher itu padhaal dulunya voucher itu bebas untuk seluruh pengguna
Kalo mau iklan jan di mana aja gw mau pencet cakra kagak bisa bisa,1,2026-04-18 23:46:10,negatif,kalo mau iklan jan di mana aja gw mau pencet cakra kagak bisa bisa
",persahabatan",5,2026-04-18 23:40:43,positif,persahabatan
"min kasi pilihan pengiriman nya spx lelet kayak gak niat kerja,lebih cepat jnt-jne kalau pakai jasa pengiriman spx berminggu"" di tempat yang sama ngk ada pergerakan paket nya",3,2026-04-18 23:40:07,netral,min kasi pilihan pengiriman nya spx lelet kayak gak niat kerjalebih cepat jntjne kalau pakai jasa pengiriman spx berminggu di tempat yang sama ngk ada pergerakan paket nya
layanannya bagus,5,2026-04-18 23:39:57,positif,layanannya bagus
memudahkan banyak urusan top rekomendasi,5,2026-04-18 23:35:52,positif,memudahkan banyak urusan top rekomendasi
gacorrr,5,2026-04-18 23:29:29,positif,gacorrr
kenapa pengajuan Spinjam di tolak terus....padahal 3x pinjam saya gag pernah telat bayar....gag bisa di andalkan sekarang....hadeh,1,2026-04-18 23:29:15,negatif,kenapa pengajuan spinjam di tolak teruspadahal x pinjam saya gag pernah telat bayargag bisa di andalkan sekaranghadeh
payah..nomer hilang ga bisa kasih solusi buat upgrade shoope pay plus.,1,2026-04-18 23:27:52,negatif,payahnomer hilang ga bisa kasih solusi buat upgrade shoope pay plus
shope sudah tidak amanah,1,2026-04-18 23:26:55,negatif,shope sudah tidak amanah
senang sekali,5,2026-04-18 23:25:39,positif,senang sekali
"MOHON UNTUK MANAJEMEN JASA PENGIRIMAN SPX LEBIH DIPERHATIKAN DETAIL PELAYANAN DAN TANGGUNG JAWABNYA, BANYAK KASUS BARANG HILANG ATAU BERKURANG JUMLAHNYA KETIKA SAMPAI DI CUSTOMER PADAHAL PENJUAL SUDAH MENGIRIM BARANG YG SESUAI,. KARYAWAN SPX TIDAK BERINTEGRITAS SAMA SEKALI DAN TIDAK ADA TINDAK LANJUT DARI SHOPEE.",1,2026-04-18 23:21:31,negatif,mohon untuk manajemen jasa pengiriman spx lebih diperhatikan detail pelayanan dan tanggung jawabnya banyak kasus barang hilang atau berkurang jumlahnya ketika sampai di customer padahal penjual sudah mengirim barang yg sesuai karyawan spx tidak berintegritas sama sekali dan tidak ada tindak lanjut dari shopee
mantap,5,2026-04-18 23:18:15,positif,mantap
mantap,5,2026-04-18 23:15:34,positif,mantap
baik,5,2026-04-18 23:14:36,positif,baik
"Shopee sangat mengecewakan. Saya pesan barang COD pakai koin, tapi paket tidak pernah sampai dan malah dikembalikan ke penjual. Parahnya, koin saya tidak dikembalikan padahal saya tidak menerima barang sama sekali. Customer service juga tidak memberi solusi jelas. Ini sangat merugikan dan tidak adil bagi pengguna. Kepercayaan saya terhadap Shopee benar-benar hilang. Tidak direkomendasikan.",1,2026-04-18 23:14:01,negatif,shopee sangat mengecewakan saya pesan barang cod pakai koin tapi paket tidak pernah sampai dan malah dikembalikan ke penjual parahnya koin saya tidak dikembalikan padahal saya tidak menerima barang sama sekali customer service juga tidak memberi solusi jelas ini sangat merugikan dan tidak adil bagi pengguna kepercayaan saya terhadap shopee benarbenar hilang tidak direkomendasikan
sanggat memuaskan,5,2026-04-18 23:13:17,positif,sanggat memuaskan
sangat puas namun untuk harga kadang lebih murah di tiktok dan jasa pengantaran juga jauh lebih cepat tiktok,5,2026-04-18 23:06:46,positif,sangat puas namun untuk harga kadang lebih murah di tiktok dan jasa pengantaran juga jauh lebih cepat tiktok
online shop paling top,5,2026-04-18 23:05:27,positif,online shop paling top
sangat bagus,5,2026-04-18 23:04:50,positif,sangat bagus
"bagus sih apk nya,,cumasayang s pinjam sya gk di acc",5,2026-04-18 22:59:38,positif,bagus sih apk nyacumasayang s pinjam sya gk di acc
"Alhamdulillah dengan adanya aplikasi ini, jadi gampang deh belanja enggak usah repot-repot keluar mantul mantap betul terimakasih👍👍👍",5,2026-04-18 22:58:30,positif,alhamdulillah dengan adanya aplikasi ini jadi gampang deh belanja enggak usah repotrepot keluar mantul mantap betul terimakasih
mantap,5,2026-04-18 22:58:08,positif,mantap
mantap pol,5,2026-04-18 22:57:58,positif,mantap pol
ajukan bagus,5,2026-04-18 22:56:54,positif,ajukan bagus
gak bisa COD,1,2026-04-18 22:55:26,negatif,gak bisa cod
mantappp.. pake aplikasi Shopee gak nyesel saya suka banget tank's.. yaa..mantaapp ka..,5,2026-04-18 22:51:37,positif,mantappp pake aplikasi shopee gak nyesel saya suka banget tanks yaamantaapp ka
"jangan di dowload kalau gak mau nyesel, pesanan COD kurirnya tidak mengantar tahu tahu barang udah balik ke penjual lagi, tampa di kirimkan ke rumah, eh yang di rugikan akun saya, yang katanya melanggar kebijakan hahahhaa, saya menunggu barang saya yang tidak di antar, tapi saya yang di rugikan dan gak bisa buat COD lagi, laporan demi laporan udah aku buat, tapi sama aja malah saya di minta dowload aplikasi rupiah cepat dengan alasan untuk bisa di gunakan lagi COD nya wkwkwkw, hati hati kalian,",1,2026-04-18 22:49:07,negatif,jangan di dowload kalau gak mau nyesel pesanan cod kurirnya tidak mengantar tahu tahu barang udah balik ke penjual lagi tampa di kirimkan ke rumah eh yang di rugikan akun saya yang katanya melanggar kebijakan hahahhaa saya menunggu barang saya yang tidak di antar tapi saya yang di rugikan dan gak bisa buat cod lagi laporan demi laporan udah aku buat tapi sama aja malah saya di minta dowload aplikasi rupiah cepat dengan alasan untuk bisa di gunakan lagi cod nya wkwkwkw hati hati kalian
sangat sangat sangat bagus untuk di download,5,2026-04-18 22:47:44,positif,sangat sangat sangat bagus untuk di download
baik tapi mengapa ya ada yang murah barangnya tapi enggak bisa di checkout,5,2026-04-18 22:46:49,positif,baik tapi mengapa ya ada yang murah barangnya tapi enggak bisa di checkout
Ada apa dengan shopee,5,2026-04-18 22:45:59,positif,ada apa dengan shopee
nggak ad penyelesaian kalau ada keluhan,1,2026-04-18 22:45:35,negatif,nggak ad penyelesaian kalau ada keluhan
aktfkan payleternya,5,2026-04-18 22:44:50,positif,aktfkan payleternya
jasa kirim sopi sangat lah buruk jdi males blanja sopi,1,2026-04-18 22:43:30,negatif,jasa kirim sopi sangat lah buruk jdi males blanja sopi
"pengiriman di monopoly sma spx aj, paket overload pesanan sering dbatal kan,",1,2026-04-18 22:42:22,negatif,pengiriman di monopoly sma spx aj paket overload pesanan sering dbatal kan
shopee dapat di percaya...amanah..baik...pokonya aku suka shopee❤️❤️❤️👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,5,2026-04-18 22:37:55,positif,shopee dapat di percayaamanahbaikpokonya aku suka shopee
baik bagus top,5,2026-04-18 22:34:45,positif,baik bagus top
dulu shopee bagus sekarang kalau kita order lama betul baru sampai di,1,2026-04-18 22:27:06,negatif,dulu shopee bagus sekarang kalau kita order lama betul baru sampai di
terbaik pokoknya shopee,5,2026-04-18 22:26:26,positif,terbaik pokoknya shopee
pas belanja,5,2026-04-18 22:23:37,positif,pas belanja
ribet sekaran shope harus verif muka padahal dulu ga sepeerti itu harus kalo mau ada verif muka ad filturnya siapa yang mau aktipin sama yang engga sekaran udab hpus apps shope rbettttt,1,2026-04-18 22:23:22,negatif,ribet sekaran shope harus verif muka padahal dulu ga sepeerti itu harus kalo mau ada verif muka ad filturnya siapa yang mau aktipin sama yang engga sekaran udab hpus apps shope rbettttt
bagus untuk belanja,5,2026-04-18 22:20:37,positif,bagus untuk belanja
no saya baru di beli tapi kok sudah ada akun lain nya,1,2026-04-18 22:18:02,negatif,no saya baru di beli tapi kok sudah ada akun lain nya
Kak tolong adakan fitur apk driver untuk kasih ranting buat Resto .biar makin cepat Membuat Pesanannya..kayak GO-JEK dan Grab. Terimakasih,5,2026-04-18 22:17:08,positif,kak tolong adakan fitur apk driver untuk kasih ranting buat resto biar makin cepat membuat pesanannyakayak gojek dan grab terimakasih
Good,5,2026-04-18 22:16:57,positif,good
bagus,4,2026-04-18 22:15:23,positif,bagus
sangat bagus,5,2026-04-18 22:15:08,positif,sangat bagus
bagus,5,2026-04-18 22:09:35,positif,bagus
Bagus,5,2026-04-18 22:09:34,positif,bagus
"GAJELAS BANGET INI APK PDAHAL GW MAU CEK OUT MALAH GABISA (MD)EROR DICURIGAI AKTIVITAS, PDAHAL GW GA NGAPA' IN DASAR SHOPE GAJELAS GAMAU LG GW MAKE NI APK NAJONG",1,2026-04-18 22:08:12,negatif,gajelas banget ini apk pdahal gw mau cek out malah gabisa mderor dicurigai aktivitas pdahal gw ga ngapa in dasar shope gajelas gamau lg gw make ni apk najong
aplikasi sesuai kebutuhan..,5,2026-04-18 22:07:41,positif,aplikasi sesuai kebutuhan
😃😃,4,2026-04-18 22:04:26,positif,
sangat bagusss dan baikl,5,2026-04-18 22:04:08,positif,sangat bagusss dan baikl
sangat membantu dikala malas keluar rumah,5,2026-04-18 22:00:51,positif,sangat membantu dikala malas keluar rumah
aplikasi yang ramah lingkungan banyak promo di shopee food..,5,2026-04-18 21:59:28,positif,aplikasi yang ramah lingkungan banyak promo di shopee food
Mantap,5,2026-04-18 21:57:41,positif,mantap
aplikasi gak bagus masa tb tb saldo saya di paylater ngilang tanpa di pake 😡apk apa siih inii nyesel bgt sayaa 😭😡,1,2026-04-18 21:57:27,negatif,aplikasi gak bagus masa tb tb saldo saya di paylater ngilang tanpa di pake apk apa siih inii nyesel bgt sayaa 
sekarang shopee dibuka susah bgtt,5,2026-04-18 21:52:28,positif,sekarang shopee dibuka susah bgtt
"shopee makin kesini malah jadi mengecewakan ya, harga barang 2,699k saat di CO malah jadi 3,067k, dan dengan ongkir 300k di kota yang sama tapi masih dikenakan tambahan subtotal ukuran khusus 89k, kalau masih ada tambahan subtotal ukuran khusus jadi kenapa ongkir awal bisa sampai 300rb untuk di kota yang sama?? tolong lah masuk akal, itu ongkir bisa sampai 300rb bukannya karna ukurannya besar? jadi untuk apa subtotal ukuran khusus ini dibuat?",1,2026-04-18 21:51:36,negatif,shopee makin kesini malah jadi mengecewakan ya harga barang k saat di co malah jadi k dan dengan ongkir k di kota yang sama tapi masih dikenakan tambahan subtotal ukuran khusus k kalau masih ada tambahan subtotal ukuran khusus jadi kenapa ongkir awal bisa sampai rb untuk di kota yang sama tolong lah masuk akal itu ongkir bisa sampai rb bukannya karna ukurannya besar jadi untuk apa subtotal ukuran khusus ini dibuat
bgs lah pokok nya,5,2026-04-18 21:49:33,positif,bgs lah pokok nya
"males lagi buka app lain kayak Wattpad tiba-tiba ke beranda shopee, tolong dong jangan jadi jelek kek gini",1,2026-04-18 21:46:08,negatif,males lagi buka app lain kayak wattpad tibatiba ke beranda shopee tolong dong jangan jadi jelek kek gini
"suka sekali, selama pakai shoppe selalu puas. selain memudahkan belanja online dengan penawaran cod barang yang dijual juga sesuai dengan yang diharapkan. sudah langganan dengan shoppe selama bertahun tahun.",5,2026-04-18 21:45:55,positif,suka sekali selama pakai shoppe selalu puas selain memudahkan belanja online dengan penawaran cod barang yang dijual juga sesuai dengan yang diharapkan sudah langganan dengan shoppe selama bertahun tahun
baik aplikasinya,5,2026-04-18 21:44:21,positif,baik aplikasinya
top,5,2026-04-18 21:40:56,positif,top
sangat membantu,5,2026-04-18 21:40:08,positif,sangat membantu
langganan buat belanja,5,2026-04-18 21:37:34,positif,langganan buat belanja
josjis,5,2026-04-18 21:37:31,positif,josjis
pesanan la bener sampainya trus stuck statusnya 6 hri,1,2026-04-18 21:36:36,negatif,pesanan la bener sampainya trus stuck statusnya  hri
shopie konoha juga tidak ada keadilan,3,2026-04-18 21:36:11,netral,shopie konoha juga tidak ada keadilan
bagus aplikasinya,5,2026-04-18 21:36:07,positif,bagus aplikasinya
Mantap Surantap,5,2026-04-18 21:34:59,positif,mantap surantap
da laganan shopee.,5,2026-04-18 21:33:26,positif,da laganan shopee
Terimakasih Shopee sudah atasi permasalahan saya. ⭐⭐⭐⭐⭐,5,2026-04-18 21:33:10,positif,terimakasih shopee sudah atasi permasalahan saya 
sangat membantu dalam hal jual beli,5,2026-04-18 21:32:41,positif,sangat membantu dalam hal jual beli
"takut belanja obat,susu dll yg ad Expirenya,bisa d edit pke alat khusus. dan shopee food ga ad qris,,susa pke uang kes,ga ad kembaliannya",2,2026-04-18 21:29:05,negatif,takut belanja obatsusu dll yg ad expirenyabisa d edit pke alat khusus dan shopee food ga ad qrissusa pke uang kesga ad kembaliannya
we,3,2026-04-18 21:28:48,netral,we
lebih.baik dari.yg.lain,5,2026-04-18 21:26:40,positif,lebihbaik dariyglain
"ngakkk suka kita buka aplikasi Wattpad langsung muncul iklan shopee sementara membaca pun begitu, setiap aplikasi jupa pasti ada iklan shopee nya kek maksa bangett si iklannya jadi pengen boikot",1,2026-04-18 21:25:06,negatif,ngakkk suka kita buka aplikasi wattpad langsung muncul iklan shopee sementara membaca pun begitu setiap aplikasi jupa pasti ada iklan shopee nya kek maksa bangett si iklannya jadi pengen boikot
oke,5,2026-04-18 21:23:58,positif,oke
tolong kepada shope tambahkan fitur khusus mencari nama toko tertentu,4,2026-04-18 21:23:37,positif,tolong kepada shope tambahkan fitur khusus mencari nama toko tertentu
"gak suka karena iklan nya sering nongol di aplikasi apa aja, trus mo nyekip nya susah banget, seakan maksa banget harus di tonton.. kontollll",1,2026-04-18 21:22:40,negatif,gak suka karena iklan nya sering nongol di aplikasi apa aja trus mo nyekip nya susah banget seakan maksa banget harus di tonton kontollll
bagus,5,2026-04-18 21:22:22,positif,bagus
nice,5,2026-04-18 21:19:27,positif,nice
engga bisa cekout padahal no HP sama pusing jadi nya,1,2026-04-18 21:16:31,negatif,engga bisa cekout padahal no hp sama pusing jadi nya
gak jelas boikot,1,2026-04-18 21:15:46,negatif,gak jelas boikot
sopee sangat membantu kami makasih sopee,5,2026-04-18 21:15:45,positif,sopee sangat membantu kami makasih sopee
sangat menyenangkan aplikasi shopee indonesia,5,2026-04-18 21:13:15,positif,sangat menyenangkan aplikasi shopee indonesia
bagus,5,2026-04-18 21:13:11,positif,bagus
baik oke,5,2026-04-18 21:12:45,positif,baik oke
Market Place Top,5,2026-04-18 21:08:36,positif,market place top
"isi shopeepay rata rata gabisa memuat semua, mau beli barang pasti ketunda, bintang 1 wifi gw 5ghz lancar loh,",1,2026-04-18 21:06:14,negatif,isi shopeepay rata rata gabisa memuat semua mau beli barang pasti ketunda bintang  wifi gw ghz lancar loh
okeeee,5,2026-04-18 21:04:40,positif,okeeee
aplikasi ini bagus,5,2026-04-18 21:03:06,positif,aplikasi ini bagus
